Index,Image,Output
219,15639,No
220,125697,Yes
221,31347,Yes
222,105872,Yes
223,26742,Yes
224,88122,Yes
225,105413,Yes
226,43177,Yes
227,80089,Yes
228,93623,Yes
229,178667,Yes
230,107027,Yes
231,92642,Yes
232,29409,Yes
233,74826,Yes
234,129575,Yes
235,69903,Yes
236,81027,Yes
237,131167,Yes
238,16050,Yes
239,201287,Yes
240,111194,Yes
241,11333,Yes
242,11204,Yes
243,209912,Yes
244,82368,Yes
245,87604,Yes
246,111532,Yes
247,26324,Yes
248,157524,Yes
249,206000,Yes
250,86980,Yes
251,196425,Yes
252,120749,Yes
253,92232,Yes
254,56206,Yes
255,102619,Yes
256,7697,Yes
257,156474,Yes
258,135161,Yes
259,186828,Yes
260,153684,Yes
261,162404,Yes
262,130251,Yes
263,75523,Yes
264,74769,Yes
265,15342,Yes
266,83134,Yes
267,175118,Yes
268,15673,Yes
269,204448,Yes
270,199631,Yes
271,144872,Yes
272,158729,Yes
273,13133,Yes
274,89966,Yes
275,36421,Yes
276,115051,Yes
277,112527,Yes
278,133325,Yes
279,204631,Yes
280,178336,Yes
281,149336,Yes
282,83242,Yes
283,84489,Yes
284,94848,Yes
285,80421,Yes
286,114072,Yes
287,190831,Yes
288,207336,Yes
289,151095,Yes
290,182010,Yes
291,138538,Yes
292,42906,Yes
293,38710,Yes
294,151122,Yes
295,104477,Yes
296,174781,Yes
297,36569,Yes
298,170302,Yes
299,89741,Yes
300,83703,Yes
301,98495,Yes
302,38790,Yes
303,73704,Yes
304,186330,Yes
305,141909,Yes
306,164970,Yes
307,23985,Yes
308,69156,Yes
309,70044,Yes
310,47695,Yes
311,94451,Yes
312,23263,Yes
313,100434,Yes
314,107558,Yes
315,78498,Yes
316,141596,Yes
317,61272,Yes
318,39785,Yes
319,179219,Yes
320,95445,Yes
321,112338,Yes
322,131286,Yes
323,33739,Yes
324,65961,Yes
325,41932,Yes
326,172805,Yes
327,173419,Yes
328,127658,Yes
329,95147,Yes
330,2052,Yes
331,136659,Yes
332,61578,Yes
333,133687,Yes
334,197309,Yes
335,74037,Yes
336,186832,Yes
337,53233,Yes
338,16886,Yes
339,151254,Yes
340,44070,Yes
341,65666,Yes
342,36707,Yes
343,447,Yes
344,142250,Yes
345,82939,Yes
346,62343,Yes
347,18770,Yes
348,97264,Yes
349,172747,No
350,98636,Yes
351,151160,Yes
352,180206,Yes
353,181748,Yes
354,99136,Yes
355,123052,Yes
356,154291,Yes
357,9087,Yes
358,26114,Yes
359,113322,Yes
360,41955,Yes
361,14488,Yes
362,77818,Yes
363,127613,Yes
364,60438,Yes
365,60181,Yes
366,69531,Yes
367,153449,Yes
368,21554,Yes
369,3987,Yes
370,17352,Yes
371,121476,Yes
372,55676,Yes
373,97461,Yes
374,34376,Yes
375,207164,Yes
376,37380,Yes
377,44479,Yes
378,103542,Yes
379,149,Yes
380,105546,Yes
381,17383,Yes
382,58767,Yes
383,119642,Yes
384,84864,Yes
385,185453,Yes
386,177560,Yes
387,59446,Yes
388,92598,Yes
389,134319,Yes
390,120091,Yes
391,86312,Yes
392,94793,Yes
393,147404,Yes
394,99704,Yes
395,165791,Yes
396,105855,Yes
397,175018,Yes
398,179786,Yes
399,202827,Yes
400,198988,Yes
401,140323,No
402,132633,Yes
403,43231,Yes
404,43139,Yes
405,111863,Yes
406,90377,Yes
407,76264,Yes
408,75330,Yes
409,53008,Yes
410,134538,Yes
411,109093,Yes
412,204301,Yes
413,75761,Yes
414,94731,Yes
415,5698,Yes
416,15753,Yes
417,195429,Yes
418,104628,Yes
419,79956,Yes
420,64347,Yes
421,123066,Yes
422,150889,Yes
423,151937,Yes
424,31029,Yes
425,158713,Yes
426,62674,Yes
427,56956,Yes
428,38941,Yes
429,121414,Yes
430,196311,Yes
431,171044,Yes
432,137212,Yes
433,138379,Yes
434,71943,Yes
435,83405,Yes
436,55190,Yes
437,115973,Yes
438,114316,Yes
439,21272,Yes
440,52999,Yes
441,160713,Yes
442,154305,Yes
443,194377,Yes
444,7471,Yes
445,207293,Yes
446,5499,Yes
447,60980,Yes
448,191261,Yes
449,124012,Yes
450,118604,Yes
451,157032,Yes
452,30861,Yes
453,57805,Yes
454,196707,Yes
455,134952,Yes
456,118892,Yes
457,46925,Yes
458,128699,Yes
459,139036,Yes
460,33401,Yes
461,114444,Yes
462,75487,Yes
463,22702,Yes
464,83467,Yes
465,38343,Yes
466,8325,Yes
467,58098,Yes
468,70944,Yes
469,136498,Yes
470,186358,Yes
471,202015,Yes
472,35693,Yes
473,181695,Yes
474,28000,No
475,201652,Yes
476,62933,Yes
477,95789,Yes
478,156521,Yes
479,190423,Yes
480,12764,Yes
481,181576,Yes
482,69409,Yes
483,185760,Yes
484,1866,Yes
485,157602,Yes
486,145959,Yes
487,51979,Yes
488,40400,Yes
489,49727,Yes
490,158533,Yes
491,135836,Yes
492,27346,Yes
493,160164,Yes
494,137037,Yes
495,110010,Yes
496,28775,Yes
497,69899,Yes
498,69076,Yes
499,103197,Yes
500,41175,Yes
501,189435,Yes
502,153516,No
503,8569,Yes
504,174976,Yes
505,132723,Yes
506,179325,Yes
507,203533,Yes
508,108066,Yes
509,145228,Yes
510,31514,Yes
511,91203,Yes
512,34497,Yes
513,78542,Yes
514,71385,Yes
515,139746,Yes
516,113021,Yes
517,177902,Yes
518,99647,Yes
519,209373,Yes
520,135836,Yes
521,55238,Yes
522,83749,Yes
523,45844,Yes
524,119929,Yes
525,197586,Yes
526,3267,Yes
527,11208,Yes
528,137028,Yes
529,43186,Yes
530,135833,Yes
531,32050,Yes
532,150045,Yes
533,202958,Yes
534,131247,Yes
535,93782,Yes
536,187985,Yes
537,89542,Yes
538,83090,Yes
539,128009,Yes
540,51824,Yes
541,89177,Yes
542,197297,Yes
543,187444,Yes
544,18725,Yes
545,46246,Yes
546,62974,Yes
547,12145,Yes
548,209530,Yes
549,46934,Yes
550,33396,Yes
551,80651,Yes
552,202476,Yes
553,166638,Yes
554,63009,Yes
555,98406,Yes
556,47638,Yes
557,198406,Yes
558,75585,Yes
559,169253,Yes
560,5339,Yes
561,112940,Yes
562,11686,Yes
563,203468,Yes
564,166480,Yes
565,205649,Yes
566,205220,Yes
567,20951,Yes
568,29192,Yes
569,150254,Yes
570,86921,Yes
571,127637,Yes
572,120569,Yes
573,72726,Yes
574,86241,Yes
575,14617,Yes
576,34688,Yes
577,128193,Yes
578,11891,Yes
579,120911,Yes
580,145419,Yes
581,72383,Yes
582,48107,Yes
583,185923,Yes
584,138115,Yes
585,176513,Yes
586,158447,Yes
587,24961,No
588,155765,Yes
589,134901,Yes
590,208712,Yes
591,93839,Yes
592,126783,Yes
593,93371,Yes
594,85581,Yes
595,195368,Yes
596,107710,Yes
597,146510,Yes
598,71479,Yes
599,142532,Yes
600,170652,Yes
601,121490,Yes
602,36028,Yes
603,190636,Yes
604,27110,Yes
605,56810,Yes
606,101424,Yes
607,27517,Yes
608,162518,Yes
609,168491,Yes
610,74104,Yes
611,58341,Yes
612,13552,Yes
613,112692,Yes
614,163180,Yes
615,147519,Yes
616,72634,Yes
617,107338,Yes
618,44440,Yes
619,160864,Yes
620,203112,Yes
621,133882,Yes
622,6377,Yes
623,202828,Yes
624,65017,Yes
625,123418,Yes
626,115786,Yes
627,76990,Yes
628,119943,Yes
629,124132,Yes
630,158173,Yes
631,1028,Yes
632,47460,Yes
633,76204,Yes
634,198609,Yes
635,107760,Yes
636,205026,Yes
637,31687,Yes
638,36734,Yes
639,199923,Yes
640,12014,Yes
641,146647,Yes
642,55081,Yes
643,102492,Yes
644,99922,Yes
645,133761,Yes
646,69255,Yes
647,194560,Yes
648,2302,Yes
649,4296,Yes
650,170424,Yes
651,166249,Yes
652,194431,Yes
653,179907,Yes
654,84035,Yes
655,203264,Yes
656,169383,Yes
657,163622,Yes
658,78086,Yes
659,60260,Yes
660,6284,Yes
661,58232,Yes
662,137390,Yes
663,183104,Yes
664,144474,Yes
665,80472,Yes
666,86659,Yes
667,184056,Yes
668,179482,Yes
669,9086,Yes
670,120110,Yes
671,31507,Yes
672,140908,Yes
673,25412,Yes
674,25119,Yes
675,135690,Yes
676,144044,Yes
677,202913,Yes
678,127967,Yes
679,20147,Yes
680,161877,Yes
681,169841,Yes
682,186408,Yes
683,112711,Yes
684,79875,Yes
685,58899,Yes
686,52418,Yes
687,16040,Yes
688,185930,Yes
689,150503,Yes
690,69638,Yes
691,207656,Yes
692,144957,Yes
693,33983,Yes
694,150755,Yes
695,111216,Yes
696,116055,Yes
697,77584,Yes
698,187882,Yes
699,76681,Yes
700,104739,Yes
701,4231,Yes
702,208756,Yes
703,118723,Yes
704,139112,Yes
705,141897,Yes
706,69012,Yes
707,175281,Yes
708,78751,Yes
709,205916,Yes
710,33605,Yes
711,94527,Yes
712,63452,Yes
713,145536,Yes
714,100908,Yes
715,34227,Yes
716,156080,Yes
717,161666,Yes
718,81208,Yes
719,142170,Yes
720,36800,Yes
721,37012,Yes
722,488,Yes
723,74217,Yes
724,80353,Yes
725,78622,Yes
726,91829,Yes
727,200724,Yes
728,121285,Yes
729,16225,No
730,61744,Yes
731,55956,Yes
732,78750,Yes
733,80756,Yes
734,71108,Yes
735,55833,Yes
736,144778,Yes
737,167723,Yes
738,78791,Yes
739,37516,Yes
740,165239,Yes
741,112052,Yes
742,108872,Yes
743,69106,Yes
744,114694,Yes
745,145391,Yes
746,26872,Yes
747,146039,Yes
748,79822,Yes
749,20438,Yes
750,45090,Yes
751,61207,Yes
752,118123,Yes
753,100398,Yes
754,168326,Yes
755,94534,Yes
756,81683,Yes
757,164156,Yes
758,207532,Yes
759,110426,Yes
760,23831,Yes
761,156375,Yes
762,202834,Yes
763,106001,Yes
764,98852,Yes
765,39340,Yes
766,114132,Yes
767,67187,Yes
768,156239,Yes
769,29577,Yes
770,60763,Yes
771,1002,Yes
772,19327,Yes
773,35706,Yes
774,131365,No
775,134044,Yes
776,29925,Yes
777,12313,No
778,199560,Yes
779,209425,Yes
780,208666,Yes
781,97865,Yes
782,88071,Yes
783,27900,Yes
784,94402,Yes
785,184952,Yes
786,44362,Yes
787,55284,Yes
788,91129,Yes
789,49446,Yes
790,13731,Yes
791,168807,Yes
792,127548,Yes
793,35650,Yes
794,122884,Yes
795,102232,Yes
796,23735,Yes
797,175297,Yes
798,52767,Yes
799,143426,Yes
800,141856,Yes
801,53236,Yes
802,32002,Yes
803,69221,Yes
804,108772,Yes
805,106490,Yes
806,80004,Yes
807,138354,Yes
808,179071,Yes
809,66710,Yes
810,191427,Yes
811,171580,Yes
812,161611,Yes
813,173420,Yes
814,520,Yes
815,22273,Yes
816,189500,Yes
817,28975,Yes
818,89384,Yes
819,50256,Yes
820,82487,Yes
821,70761,Yes
822,58319,Yes
823,191799,Yes
824,197522,Yes
825,20687,Yes
826,124375,Yes
827,177203,Yes
828,30697,Yes
829,157605,Yes
830,52616,Yes
831,42069,Yes
832,115312,Yes
833,50067,Yes
834,17789,Yes
835,146458,Yes
836,36946,Yes
837,163606,Yes
838,130729,Yes
839,16745,Yes
840,59465,Yes
841,206389,Yes
842,193700,Yes
843,9178,Yes
844,43438,Yes
845,162760,Yes
846,19353,Yes
847,134934,Yes
848,1579,Yes
849,33607,Yes
850,191221,Yes
851,110587,Yes
852,209242,Yes
853,64473,Yes
854,60840,Yes
855,134835,Yes
856,63322,Yes
857,101464,Yes
858,79746,Yes
859,152089,Yes
860,162865,Yes
861,96419,Yes
862,126259,Yes
863,39851,Yes
864,97352,Yes
865,96485,Yes
866,60916,Yes
867,207958,Yes
868,105145,Yes
869,78288,Yes
870,96521,Yes
871,175761,Yes
872,109994,Yes
873,172445,Yes
874,185531,Yes
875,130143,Yes
876,22103,Yes
877,67257,Yes
878,162585,Yes
879,25602,Yes
880,206028,Yes
881,44555,Yes
882,194074,Yes
883,59915,Yes
884,113229,Yes
885,91672,Yes
886,65825,Yes
887,54860,Yes
888,200721,Yes
889,103486,Yes
890,138378,Yes
891,13512,Yes
892,66444,Yes
893,96944,Yes
894,178161,No
895,106757,Yes
896,91326,Yes
897,161479,Yes
898,38196,Yes
899,103808,Yes
900,138929,Yes
901,119928,Yes
902,75754,Yes
903,126952,Yes
904,96244,Yes
905,11060,Yes
906,174346,Yes
907,151885,Yes
908,64612,Yes
909,122044,Yes
910,82510,Yes
911,21979,No
912,107452,Yes
913,95225,Yes
914,32480,Yes
915,196634,Yes
916,176031,Yes
917,11294,Yes
918,42873,Yes
919,32784,Yes
920,147307,Yes
921,177968,Yes
922,33509,Yes
923,166335,Yes
924,80905,Yes
925,61084,Yes
926,163421,Yes
927,124902,Yes
928,109037,Yes
929,120656,Yes
930,139024,Yes
931,89964,Yes
932,54427,Yes
933,148012,Yes
934,84830,Yes
935,64948,Yes
936,164335,Yes
937,168172,Yes
938,26684,Yes
939,148384,Yes
940,55214,Yes
941,106264,Yes
942,156177,Yes
943,174293,Yes
944,121460,Yes
945,88333,Yes
946,146396,Yes
947,9434,Yes
948,118287,Yes
949,30704,Yes
950,91389,Yes
951,133717,Yes
952,116009,Yes
953,92622,Yes
954,16117,Yes
955,167657,Yes
956,55529,Yes
957,152556,Yes
958,186722,Yes
959,153372,Yes
960,62369,Yes
961,24630,No
962,169493,Yes
963,12837,Yes
964,186057,Yes
965,3273,Yes
966,206738,Yes
967,107210,Yes
968,70468,Yes
969,164256,Yes
970,190970,Yes
971,153766,Yes
972,73210,Yes
973,64626,Yes
974,147622,Yes
975,58088,Yes
976,159345,Yes
977,104155,Yes
978,130488,Yes
979,134107,Yes
980,37128,Yes
981,160802,Yes
982,121200,Yes
983,106756,Yes
984,8217,Yes
985,119558,Yes
986,194081,Yes
987,10163,Yes
988,194899,Yes
989,2889,Yes
990,15549,Yes
991,97556,Yes
992,100841,Yes
993,126461,Yes
994,126582,Yes
995,94236,Yes
996,46499,Yes
997,204087,Yes
998,83672,Yes
999,23264,Yes
1000,44351,Yes
1001,15437,Yes
1002,61080,Yes
1003,25332,Yes
1004,43988,Yes
1005,87956,Yes
1006,31410,Yes
1007,172885,Yes
1008,15999,No
1009,17968,Yes
1010,87774,Yes
1011,21629,No
1012,18592,Yes
1013,4475,Yes
1014,31386,Yes
1015,103050,Yes
1016,5165,Yes
1017,158742,Yes
1018,134821,Yes
1019,27829,Yes
1020,143006,Yes
1021,30825,Yes
1022,199100,Yes
1023,176401,Yes
1024,141135,Yes
1025,180930,Yes
1026,27506,Yes
1027,198009,Yes
1028,124353,Yes
1029,56199,Yes
1030,118250,Yes
1031,70083,Yes
1032,44072,Yes
1033,135136,Yes
1034,159687,Yes
1035,11449,Yes
1036,112419,Yes
1037,122629,Yes
1038,113150,Yes
1039,79606,Yes
1040,24382,Yes
1041,166296,Yes
1042,29857,Yes
1043,74307,Yes
1044,206997,No
1045,96357,Yes
1046,39307,Yes
1047,103178,Yes
1048,67883,Yes
1049,174573,No
1050,96005,Yes
1051,154896,Yes
1052,50948,Yes
1053,179731,Yes
1054,126596,Yes
1055,180974,Yes
1056,76137,Yes
1057,178835,Yes
1058,187056,Yes
1059,26557,Yes
1060,175594,Yes
1061,15848,Yes
1062,179997,Yes
1063,126072,Yes
1064,6455,Yes
1065,107025,Yes
1066,182004,Yes
1067,151584,Yes
1068,31584,Yes
1069,70284,Yes
1070,194001,Yes
1071,134756,Yes
1072,105046,Yes
1073,56422,Yes
1074,140382,Yes
1075,78730,Yes
1076,186556,Yes
1077,100610,Yes
1078,42090,Yes
1079,98903,Yes
1080,183456,Yes
1081,96795,Yes
1082,136315,Yes
1083,93934,Yes
1084,2559,Yes
1085,68993,Yes
1086,206034,Yes
1087,42510,Yes
1088,19440,Yes
1089,146160,Yes
1090,11399,Yes
1091,69339,Yes
1092,77820,Yes
1093,34297,Yes
1094,91316,Yes
1095,142642,Yes
1096,156100,Yes
1097,169028,Yes
1098,157574,Yes
1099,82487,Yes
1100,31039,Yes
1101,164591,Yes
1102,14196,Yes
1103,51238,Yes
1104,192559,Yes
1105,39305,Yes
1106,152145,Yes
1107,149298,Yes
1108,7612,Yes
1109,17146,Yes
1110,15142,Yes
1111,95189,Yes
1112,151643,Yes
1113,73068,Yes
1114,107626,Yes
1115,46120,Yes
1116,143233,Yes
1117,81476,Yes
1118,128885,Yes
1119,20054,Yes
1120,113484,Yes
1121,164583,Yes
1122,81492,Yes
1123,127829,Yes
1124,116679,Yes
1125,7683,Yes
1126,102027,Yes
1127,34317,Yes
1128,16046,Yes
1129,205199,Yes
1130,65609,Yes
1131,27282,Yes
1132,47867,Yes
1133,146696,Yes
1134,126148,Yes
1135,158542,Yes
1136,84798,Yes
1137,26731,No
1138,55680,Yes
1139,200825,Yes
1140,20202,Yes
1141,155609,Yes
1142,29787,No
1143,101589,Yes
1144,103176,Yes
1145,156143,No
1146,151069,Yes
1147,119157,Yes
1148,46453,Yes
1149,169805,Yes
1150,160150,Yes
1151,137448,Yes
1152,89903,Yes
1153,179936,No
1154,198027,Yes
1155,158761,Yes
1156,198819,Yes
1157,200019,Yes
1158,99617,Yes
1159,197082,Yes
1160,201494,Yes
1161,55826,Yes
1162,171948,Yes
1163,203851,Yes
1164,190020,Yes
1165,60606,Yes
1166,130421,Yes
1167,138975,Yes
1168,170850,Yes
1169,168046,Yes
1170,123712,Yes
1171,131798,Yes
1172,71369,Yes
1173,183286,Yes
1174,20305,No
1175,23558,Yes
1176,149684,Yes
1177,180004,Yes
1178,66672,Yes
1179,16706,Yes
1180,86972,Yes
1181,197425,Yes
1182,136084,Yes
1183,91183,Yes
1184,31647,Yes
1185,44416,Yes
1186,36564,Yes
1187,147212,Yes
1188,30079,Yes
1189,135700,Yes
1190,143869,Yes
1191,95814,Yes
1192,125177,Yes
1193,70032,Yes
1194,9651,Yes
1195,61858,Yes
1196,65528,Yes
1197,115727,Yes
1198,1006,Yes
1199,17383,Yes
1200,77683,Yes
1201,11753,Yes
1202,9127,Yes
1203,135847,Yes
1204,83651,Yes
1205,95768,Yes
1206,51778,Yes
1207,152480,Yes
1208,155621,Yes
1209,191634,Yes
1210,185549,Yes
1211,46158,Yes
1212,142546,Yes
1213,32775,Yes
1214,172386,Yes
1215,197099,Yes
1216,114402,Yes
1217,77779,Yes
1218,1490,Yes
1219,99609,Yes
1220,147372,Yes
1221,40727,Yes
1222,54849,Yes
1223,76008,Yes
1224,126125,Yes
1225,147475,Yes
1226,28919,Yes
1227,97088,Yes
1228,140711,Yes
1229,18895,Yes
1230,65432,Yes
1231,16787,Yes
1232,2221,Yes
1233,141687,Yes
1234,199730,Yes
1235,99332,Yes
1236,39575,Yes
1237,35614,Yes
1238,28096,Yes
1239,51453,Yes
1240,88415,Yes
1241,130098,Yes
1242,52671,Yes
1243,79182,Yes
1244,90914,Yes
1245,202020,Yes
1246,2562,Yes
1247,63775,Yes
1248,80673,Yes
1249,144572,Yes
1250,33803,Yes
1251,91076,Yes
1252,42401,Yes
1253,150428,Yes
1254,117685,Yes
1255,16982,Yes
1256,10924,Yes
1257,165727,Yes
1258,154224,Yes
1259,173778,Yes
1260,105802,Yes
1261,93924,Yes
1262,21856,Yes
1263,41709,Yes
1264,100350,Yes
1265,109353,Yes
1266,92750,Yes
1267,86593,Yes
1268,66539,Yes
1269,132909,Yes
1270,17354,Yes
1271,70900,Yes
1272,42559,Yes
1273,197408,Yes
1274,155559,Yes
1275,40193,Yes
1276,195468,Yes
1277,161785,Yes
1278,200054,Yes
1279,27609,No
1280,66444,Yes
1281,195642,Yes
1282,207763,Yes
1283,115810,Yes
1284,190720,Yes
1285,50114,Yes
1286,111085,Yes
1287,90435,Yes
1288,177066,Yes
1289,143737,Yes
1290,153788,Yes
1291,95316,Yes
1292,182448,Yes
1293,200800,Yes
1294,209594,Yes
1295,26055,Yes
1296,66716,Yes
1297,171123,Yes
1298,51039,Yes
1299,166811,Yes
1300,22098,Yes
1301,33776,Yes
1302,40204,Yes
1303,202822,Yes
1304,43472,Yes
1305,144535,Yes
1306,190367,Yes
1307,127661,Yes
1308,10131,Yes
1309,75410,Yes
1310,29120,Yes
1311,36704,Yes
1312,19178,Yes
1313,131346,Yes
1314,48346,Yes
1315,34561,Yes
1316,41039,Yes
1317,6772,Yes
1318,101530,Yes
1319,4938,Yes
1320,81168,Yes
1321,196869,Yes
1322,88337,Yes
1323,126722,Yes
1324,201053,Yes
1325,112301,Yes
1326,123384,Yes
1327,194884,Yes
1328,111339,Yes
1329,145882,Yes
1330,199391,Yes
1331,200288,Yes
1332,170618,Yes
1333,155689,Yes
1334,43007,Yes
1335,23925,Yes
1336,160176,No
1337,77182,Yes
1338,41618,Yes
1339,39671,Yes
1340,37015,Yes
1341,32070,Yes
1342,153522,Yes
1343,75422,Yes
1344,161823,Yes
1345,67787,Yes
1346,92406,Yes
1347,115369,Yes
1348,164927,Yes
1349,185009,Yes
1350,142560,Yes
1351,97757,Yes
1352,152597,Yes
1353,103192,Yes
1354,207022,Yes
1355,81620,Yes
1356,32236,Yes
1357,105103,Yes
1358,202756,Yes
1359,175039,Yes
1360,198054,Yes
1361,59598,Yes
1362,205605,Yes
1363,23964,Yes
1364,21148,Yes
1365,183313,Yes
1366,139997,Yes
1367,151048,Yes
1368,189101,Yes
1369,20365,No
1370,117567,Yes
1371,181126,Yes
1372,5326,Yes
1373,28920,Yes
1374,194566,Yes
1375,148082,Yes
1376,63678,Yes
1377,88855,Yes
1378,6093,No
1379,144529,Yes
1380,101892,Yes
1381,6871,Yes
1382,205665,Yes
1383,97881,Yes
1384,54289,Yes
1385,75781,Yes
1386,7873,Yes
1387,59698,Yes
1388,42876,Yes
1389,54155,Yes
1390,195545,Yes
1391,133791,Yes
1392,173662,Yes
1393,165194,Yes
1394,91555,Yes
1395,164599,Yes
1396,192020,Yes
1397,69069,Yes
1398,199602,Yes
1399,194483,Yes
1400,166395,Yes
1401,86586,Yes
1402,22417,Yes
1403,144722,Yes
1404,48608,Yes
1405,108355,Yes
1406,204798,Yes
1407,19077,Yes
1408,101575,Yes
1409,31347,Yes
1410,115847,Yes
1411,131899,Yes
1412,117132,Yes
1413,12104,Yes
1414,118834,Yes
1415,144737,Yes
1416,74015,Yes
1417,204091,Yes
1418,91735,Yes
1419,110121,Yes
1420,157653,Yes
1421,199382,Yes
1422,196627,Yes
1423,3510,Yes
1424,88220,Yes
1425,114476,Yes
1426,32056,Yes
1427,56807,Yes
1428,150002,Yes
1429,201948,Yes
1430,206557,Yes
1431,29299,Yes
1432,55211,Yes
1433,179447,Yes
1434,197822,Yes
1435,190483,Yes
1436,198805,Yes
1437,13812,Yes
1438,83296,Yes
1439,78062,Yes
1440,20847,Yes
1441,86866,Yes
1442,9457,Yes
1443,191933,Yes
1444,136795,Yes
1445,97292,Yes
1446,174848,Yes
1447,180465,Yes
1448,199165,Yes
1449,81943,Yes
1450,57506,Yes
1451,155773,Yes
1452,13852,Yes
1453,156558,No
1454,106665,Yes
1455,160108,Yes
1456,81747,Yes
1457,50731,Yes
1458,131731,Yes
1459,114465,Yes
1460,186302,Yes
1461,140812,Yes
1462,9191,Yes
1463,165583,Yes
1464,135337,Yes
1465,113890,Yes
1466,46104,Yes
1467,117663,Yes
1468,118911,Yes
1469,85071,Yes
1470,16458,Yes
1471,93361,Yes
1472,55120,Yes
1473,123354,Yes
1474,194210,Yes
1475,153936,Yes
1476,108171,Yes
1477,149391,Yes
1478,36464,Yes
1479,40523,Yes
1480,162235,Yes
1481,61683,Yes
1482,182767,Yes
1483,202916,Yes
1484,201503,Yes
1485,4221,Yes
1486,149350,Yes
1487,21629,No
1488,61061,Yes
1489,207056,Yes
1490,89584,Yes
1491,96803,Yes
1492,169757,Yes
1493,190391,Yes
1494,90622,Yes
1495,87035,Yes
1496,207496,Yes
1497,191359,Yes
1498,134437,Yes
1499,104162,Yes
1500,112429,Yes
1501,180812,Yes
1502,153656,Yes
1503,145763,Yes
1504,59610,Yes
