Index,Image A,Image B,Output
206,40266,82477,A
207,81506,8794,B
208,37941,187815,B
209,60835,15954,A
210,203408,80205,A
211,162926,73370,A
212,18086,124842,A
213,203439,193457,A
214,139896,34775,A
215,43487,122997,A
216,113064,152824,A
217,3971,98108,A
218,196926,173193,A
219,15639,98572,A
220,125697,51482,A
221,31347,54703,A
222,105872,50240,A
223,26742,278,A
224,88122,151252,A
225,105413,158110,A
226,43177,102554,A
227,80089,129400,A
228,93623,134396,A
229,178667,64198,A
230,107027,58382,A
231,92642,85403,A
232,29409,103486,A
233,74826,75377,B
234,129575,80958,A
235,69903,107736,B
236,81027,99959,B
237,131167,26700,A
238,16050,74142,A
239,201287,164527,A
240,111194,76913,A
241,11333,133216,A
242,11204,10735,A
243,209912,179715,B
244,82368,169889,A
245,87604,207113,A
246,111532,68376,A
247,26324,125247,A
248,157524,70407,A
249,206000,54997,A
250,86980,105142,A
251,196425,182181,A
252,120749,116098,A
253,92232,160287,A
254,56206,180200,A
255,102619,178938,A
256,7697,16812,A
257,156474,16003,A
258,135161,205206,A
259,186828,146580,A
260,153684,165680,A
261,162404,97792,A
262,130251,16721,A
263,75523,113673,A
264,74769,14752,A
265,15342,179748,B
266,83134,50385,A
267,175118,30139,A
268,15673,166605,A
269,204448,32958,A
270,199631,62617,B
271,144872,52472,A
272,158729,26092,A
273,13133,209715,A
274,89966,66099,A
275,36421,200779,B
276,115051,64885,A
277,112527,84132,A
278,133325,143253,A
279,204631,108336,B
280,178336,2476,A
281,149336,128100,A
282,83242,27955,A
283,84489,37460,A
284,94848,149381,A
285,80421,200183,A
286,114072,120230,A
287,190831,176910,A
288,207336,117109,A
289,151095,24747,A
290,182010,103596,A
291,138538,38298,A
292,42906,28682,A
293,38710,157904,A
294,151122,23458,A
295,104477,5008,A
296,174781,35083,A
297,36569,115194,A
298,170302,97029,A
299,89741,149444,A
300,83703,195666,A
301,98495,141240,A
302,38790,149262,A
303,73704,145038,B
304,186330,116789,A
305,141909,71998,A
306,164970,117215,A
307,23985,121439,A
308,69156,99528,A
309,70044,150816,A
310,47695,97594,A
311,94451,47651,A
312,23263,126613,A
313,100434,145290,A
314,107558,179129,A
315,78498,208981,A
316,141596,183011,A
317,61272,74857,A
318,39785,127547,A
319,179219,60492,A
320,95445,51546,A
321,112338,32086,A
322,131286,5166,B
323,33739,25617,A
324,65961,153164,A
325,41932,176683,A
326,172805,186130,A
327,173419,13825,A
328,127658,182624,A
329,95147,20443,A
330,2052,159401,A
331,136659,42993,A
332,61578,118048,A
333,133687,116744,B
334,197309,197287,A
335,74037,131259,A
336,186832,46788,A
337,53233,185358,A
338,16886,143678,B
339,151254,170104,A
340,44070,132906,A
341,65666,153764,A
342,36707,199784,A
343,447,46163,A
344,142250,110875,A
345,82939,148420,B
346,62343,139532,A
347,18770,4470,A
348,97264,16337,A
349,172747,147441,A
350,98636,150477,A
351,151160,193632,A
352,180206,146620,A
353,181748,140148,B
354,99136,134794,A
355,123052,147023,A
356,154291,109447,A
357,9087,47868,A
358,26114,115597,A
359,113322,126032,B
360,41955,99188,A
361,14488,54860,A
362,77818,44407,A
363,127613,17001,A
364,60438,121046,A
365,60181,40213,A
366,69531,134024,A
367,153449,46905,B
368,21554,118074,A
369,3987,160531,A
370,17352,38171,A
371,121476,195832,B
372,55676,174706,B
373,97461,92331,A
374,34376,46481,A
375,207164,159586,A
376,37380,171615,A
377,44479,206071,A
378,103542,65255,A
379,149,165973,A
380,105546,107525,B
381,17383,200858,A
382,58767,152659,A
383,119642,151837,A
384,84864,49486,A
385,185453,205299,A
386,177560,77050,A
387,59446,63989,B
388,92598,169454,A
389,134319,194017,A
390,120091,153867,A
391,86312,57264,A
392,94793,15016,A
393,147404,132280,A
394,99704,166661,A
395,165791,95539,A
396,105855,91655,B
397,175018,125281,A
398,179786,156933,A
399,202827,78359,B
400,198988,192620,A
401,140323,83750,B
402,132633,68346,B
403,43231,44744,B
404,43139,153659,B
405,111863,88312,A
406,90377,47164,B
407,76264,127593,B
408,75330,153609,A
409,53008,119839,A
410,134538,161336,A
411,109093,209216,A
412,204301,159350,A
413,75761,31380,A
414,94731,204523,A
415,5698,131586,B
416,15753,12752,A
417,195429,10715,A
418,104628,32682,A
419,79956,180353,A
420,64347,138046,A
421,123066,7353,A
422,150889,61260,A
423,151937,48224,B
424,31029,146420,A
425,158713,171281,A
426,62674,49284,A
427,56956,57068,A
428,38941,119347,A
429,121414,2470,A
430,196311,117877,A
431,171044,156539,B
432,137212,82831,A
433,138379,183378,B
434,71943,169670,A
435,83405,21179,A
436,55190,199576,B
437,115973,4571,A
438,114316,121672,A
439,21272,208481,A
440,52999,53202,A
441,160713,21477,A
442,154305,183711,B
443,194377,157142,A
444,7471,53917,A
445,207293,207308,A
446,5499,176911,A
447,60980,160681,A
448,191261,181058,A
449,124012,118498,A
450,118604,17670,A
451,157032,208827,A
452,30861,204120,A
453,57805,104582,A
454,196707,7486,A
455,134952,72284,A
456,118892,130499,A
457,46925,28568,A
458,128699,62324,A
459,139036,24100,A
460,33401,85061,A
461,114444,185742,A
462,75487,1183,A
463,22702,188415,A
464,83467,176409,A
465,38343,38944,A
466,8325,189553,A
467,58098,81699,A
468,70944,188972,A
469,136498,169598,A
470,186358,43467,A
471,202015,151563,A
472,35693,123209,A
473,181695,110756,A
474,28000,49236,A
475,201652,55095,A
476,62933,169910,A
477,95789,161530,A
478,156521,24143,A
479,190423,132594,A
480,12764,204577,A
481,181576,173050,B
482,69409,101671,A
483,185760,46633,B
484,1866,144728,A
485,157602,190502,A
486,145959,67069,B
487,51979,97225,B
488,40400,50069,A
489,49727,68404,B
490,158533,153921,A
491,135836,58806,A
492,27346,78745,A
493,160164,195433,B
494,137037,22433,A
495,110010,94710,A
496,28775,42400,A
497,69899,80033,A
498,69076,79777,A
499,103197,119602,A
500,41175,206473,B
501,189435,206925,A
502,153516,57574,A
503,8569,169582,A
504,174976,17096,A
505,132723,71260,A
506,179325,48796,A
507,203533,71842,B
508,108066,153564,A
509,145228,74238,A
510,31514,17005,A
511,91203,182608,A
512,34497,182316,A
513,78542,186720,A
514,71385,74856,A
515,139746,180607,A
516,113021,50406,B
517,177902,32759,A
518,99647,199118,A
519,209373,46003,A
520,135836,3085,A
521,55238,60533,A
522,83749,186885,A
523,45844,82470,B
524,119929,140221,B
525,197586,149107,A
526,3267,116486,A
527,11208,30467,B
528,137028,49547,A
529,43186,156834,B
530,135833,177622,A
531,32050,156443,B
532,150045,113939,B
533,202958,127116,A
534,131247,53254,A
535,93782,69325,A
536,187985,185213,A
537,89542,206701,A
538,83090,68983,A
539,128009,164311,A
540,51824,55498,A
541,89177,51433,A
542,197297,140176,A
543,187444,145913,A
544,18725,188839,B
545,46246,153418,A
546,62974,201112,B
547,12145,31081,A
548,209530,183149,A
549,46934,79361,A
550,33396,5302,A
551,80651,209201,A
552,202476,101588,A
553,166638,177289,A
554,63009,36113,A
555,98406,72337,A
556,47638,61069,B
557,198406,86751,A
558,75585,74520,A
559,169253,42706,A
560,5339,87939,B
561,112940,114630,B
562,11686,100531,A
563,203468,5918,A
564,166480,72248,A
565,205649,47753,A
566,205220,120826,A
567,20951,125040,B
568,29192,178741,A
569,150254,118060,A
570,86921,150527,A
571,127637,130139,B
572,120569,155661,A
573,72726,7372,A
574,86241,34100,A
575,14617,121635,B
576,34688,200166,A
577,128193,177255,A
578,11891,35244,A
579,120911,104874,A
580,145419,5441,A
581,72383,164131,A
582,48107,48463,A
583,185923,173685,A
584,138115,94182,A
585,176513,155738,A
586,158447,121040,A
587,24961,137427,A
588,155765,159084,A
589,134901,112583,A
590,208712,97682,A
591,93839,133896,A
592,126783,182950,A
593,93371,182241,A
594,85581,125898,A
595,195368,50663,A
596,107710,16873,A
597,146510,28473,A
598,71479,206492,A
599,142532,207867,A
600,170652,17800,A
601,121490,130680,A
602,36028,20068,A
603,190636,84081,A
604,27110,133514,A
605,56810,145521,A
606,101424,140756,A
607,27517,150800,A
608,162518,45636,A
609,168491,49658,A
610,74104,187319,A
611,58341,85168,A
612,13552,88308,A
613,112692,173438,A
614,163180,189892,A
615,147519,11429,A
616,72634,165977,A
617,107338,139243,A
618,44440,200486,A
619,160864,34156,A
620,203112,152766,A
621,133882,44447,A
622,6377,59385,A
623,202828,151703,A
624,65017,93835,A
625,123418,123823,A
626,115786,197212,A
627,76990,111213,A
628,119943,189379,A
629,124132,102116,B
630,158173,170077,A
631,1028,90382,A
632,47460,138513,A
633,76204,46164,A
634,198609,50205,B
635,107760,196517,A
636,205026,79298,A
637,31687,142215,A
638,36734,85711,A
639,199923,82678,A
640,12014,32618,A
641,146647,54616,A
642,55081,198283,A
643,102492,12551,A
644,99922,24401,A
645,133761,29393,A
646,69255,54302,A
647,194560,131482,A
648,2302,164507,A
649,4296,128784,A
650,170424,95596,A
651,166249,158949,A
652,194431,28317,A
653,179907,14008,A
654,84035,160338,A
655,203264,138659,A
656,169383,94502,A
657,163622,167807,A
658,78086,188442,A
659,60260,156623,A
660,6284,30871,A
661,58232,135008,A
662,137390,170341,A
663,183104,14964,A
664,144474,205968,A
665,80472,95239,A
666,86659,168607,A
667,184056,292,A
668,179482,62881,A
669,9086,156944,A
670,120110,189668,B
671,31507,168724,A
672,140908,126332,A
673,25412,25294,A
674,25119,65813,A
675,135690,209954,A
676,144044,94034,A
677,202913,131310,A
678,127967,159453,A
679,20147,94198,A
680,161877,71762,A
681,169841,41048,A
682,186408,11299,A
683,112711,157496,A
684,79875,82553,A
685,58899,196925,A
686,52418,11163,A
687,16040,20194,A
688,185930,167908,A
689,150503,120729,A
690,69638,138018,A
691,207656,200550,A
692,144957,114924,A
693,33983,11192,A
694,150755,133516,B
695,111216,101188,A
696,116055,106348,A
697,77584,113916,A
698,187882,47033,A
699,76681,15861,A
700,104739,41856,A
701,4231,191898,A
702,208756,108765,A
703,118723,62631,A
704,139112,177315,A
705,141897,20247,A
706,69012,74884,A
707,175281,108992,A
708,78751,195712,A
709,205916,175771,A
710,33605,160913,B
711,94527,114348,A
712,63452,54135,B
713,145536,35582,A
714,100908,78313,A
715,34227,165782,A
716,156080,122564,A
717,161666,91919,A
718,81208,51180,A
719,142170,172408,A
720,36800,49783,A
721,37012,33983,A
722,488,97039,A
723,74217,135094,A
724,80353,95588,A
725,78622,89510,A
726,91829,19582,A
727,200724,111653,A
728,121285,95808,A
729,16225,183946,A
730,61744,80445,A
731,55956,8724,A
732,78750,154934,A
733,80756,69908,A
734,71108,63626,A
735,55833,14084,A
736,144778,208626,A
737,167723,135635,B
738,78791,191744,A
739,37516,96757,A
740,165239,127315,B
741,112052,34724,A
742,108872,136078,B
743,69106,60951,A
744,114694,147954,A
745,145391,204773,A
746,26872,1686,A
747,146039,78648,B
748,79822,190021,A
749,20438,207071,A
750,45090,26475,A
751,61207,36805,A
752,118123,38244,A
753,100398,153041,A
754,168326,82317,A
755,94534,75960,A
756,81683,100216,A
757,164156,34883,A
758,207532,334,A
759,110426,158180,B
760,23831,137221,A
761,156375,104005,A
762,202834,147028,A
763,106001,428,A
764,98852,2663,A
765,39340,175078,A
766,114132,149533,A
767,67187,195420,A
768,156239,35696,B
769,29577,129198,A
770,60763,124003,A
771,1002,19475,A
772,19327,177636,A
773,35706,10471,B
774,131365,24710,A
775,134044,51880,B
776,29925,177586,A
777,12313,135036,A
778,199560,64365,A
779,209425,155024,B
780,208666,110154,B
781,97865,77860,A
782,88071,125235,B
783,27900,54983,A
784,94402,153205,A
785,184952,40645,A
786,44362,47157,A
787,55284,90145,A
788,91129,14760,A
789,49446,44707,B
790,13731,146039,B
791,168807,106812,A
792,127548,60474,A
793,35650,140711,A
794,122884,181974,A
795,102232,25282,A
796,23735,189880,B
797,175297,56228,A
798,52767,16716,A
799,143426,118723,B
800,141856,176907,A
801,53236,40494,A
802,32002,12422,A
803,69221,166561,A
804,108772,149879,A
805,106490,148950,A
806,80004,33438,A
807,138354,21979,A
808,179071,135530,A
809,66710,144458,A
810,191427,185176,A
811,171580,196732,A
812,161611,152073,A
813,173420,198586,A
814,520,4396,A
815,22273,197961,A
816,189500,97322,A
817,28975,56757,A
818,89384,1290,A
819,50256,92524,A
820,82487,122595,A
821,70761,87892,A
822,58319,147246,B
823,191799,193549,A
824,197522,138069,A
825,20687,73729,A
826,124375,108255,B
827,177203,206827,B
828,30697,181513,A
829,157605,199894,A
830,52616,182164,A
831,42069,42872,A
832,115312,108354,A
833,50067,79695,A
834,17789,181662,B
835,146458,108030,A
836,36946,91160,A
837,163606,96467,A
838,130729,108127,A
839,16745,77783,A
840,59465,199228,A
841,206389,169757,A
842,193700,159871,A
843,9178,166644,A
844,43438,37668,A
845,162760,163117,A
846,19353,200843,B
847,134934,38525,A
848,1579,125006,A
849,33607,157267,A
850,191221,159120,A
851,110587,40593,A
852,209242,112161,A
853,64473,28557,A
854,60840,199750,A
855,134835,136357,B
856,63322,125776,A
857,101464,5896,A
858,79746,182399,A
859,152089,85088,A
860,162865,197691,A
861,96419,168690,A
862,126259,117512,A
863,39851,61823,A
864,97352,194636,B
865,96485,83533,A
866,60916,11355,A
867,207958,77489,A
868,105145,73358,A
869,78288,65784,A
870,96521,166019,B
871,175761,29556,A
872,109994,93363,A
873,172445,157996,A
874,185531,126430,A
875,130143,82447,A
876,22103,79910,A
877,67257,194145,A
878,162585,21420,A
879,25602,27290,A
880,206028,130596,B
881,44555,82893,A
882,194074,161257,A
883,59915,144260,A
884,113229,34636,B
885,91672,158306,A
886,65825,45679,A
887,54860,52063,A
888,200721,65337,A
889,103486,18222,A
890,138378,15308,B
891,13512,180629,A
892,66444,117662,A
893,96944,10309,A
894,178161,80696,A
895,106757,203681,A
896,91326,151044,B
897,161479,109713,A
898,38196,166866,A
899,103808,99199,A
900,138929,52662,A
901,119928,142276,A
902,75754,138838,A
903,126952,21595,A
904,96244,151926,A
905,11060,107824,A
906,174346,164377,A
907,151885,52706,A
908,64612,173807,A
909,122044,57113,A
910,82510,200179,A
911,21979,88805,A
912,107452,46776,A
913,95225,44339,A
914,32480,149640,A
915,196634,4440,A
916,176031,175041,B
917,11294,106567,A
918,42873,190125,A
919,32784,197445,A
920,147307,49049,A
921,177968,163442,B
922,33509,15008,A
923,166335,109542,B
924,80905,103201,A
925,61084,179220,A
926,163421,117847,B
927,124902,100598,A
928,109037,113529,A
929,120656,73473,A
930,139024,172521,B
931,89964,43402,A
932,54427,162180,A
933,148012,70238,A
934,84830,169078,A
935,64948,63218,A
936,164335,108110,A
937,168172,177405,A
938,26684,46993,A
939,148384,90013,A
940,55214,42984,A
941,106264,190632,B
942,156177,130484,A
943,174293,197841,A
944,121460,70990,A
945,88333,156956,A
946,146396,24885,A
947,9434,90335,A
948,118287,49801,A
949,30704,171669,A
950,91389,18251,A
951,133717,102965,B
952,116009,169351,A
953,92622,66920,A
954,16117,34062,B
955,167657,193117,A
956,55529,37607,A
957,152556,62241,A
958,186722,147207,A
959,153372,157387,A
960,62369,159833,A
961,24630,33485,A
962,169493,186630,A
963,12837,95885,A
964,186057,52602,A
965,3273,53393,A
966,206738,12865,A
967,107210,193675,A
968,70468,125846,A
969,164256,34947,A
970,190970,113634,A
971,153766,131963,A
972,73210,23061,A
973,64626,101652,B
974,147622,99860,A
975,58088,208116,A
976,159345,161035,B
977,104155,42576,A
978,130488,155282,A
979,134107,106598,A
980,37128,176661,A
981,160802,51699,A
982,121200,146571,A
983,106756,147493,A
984,8217,30530,A
985,119558,125712,A
986,194081,119288,A
987,10163,151,A
988,194899,165191,A
989,2889,115588,A
990,15549,39932,B
991,97556,114975,A
992,100841,68997,A
993,126461,99801,A
994,126582,200738,A
995,94236,86435,A
996,46499,77547,A
997,204087,137462,A
998,83672,126772,A
999,23264,14960,A
1000,44351,20811,A
1001,15437,190104,A
1002,61080,155474,B
1003,25332,117165,A
1004,43988,68881,A
1005,87956,201752,A
1006,31410,193747,A
1007,172885,67441,A
1008,15999,33439,B
1009,17968,185561,A
1010,87774,78595,A
1011,21629,92193,A
1012,18592,91586,A
1013,4475,6110,A
1014,31386,182288,A
1015,103050,8212,A
1016,5165,8664,A
1017,158742,5321,A
1018,134821,204705,A
1019,27829,184231,A
1020,143006,170630,A
1021,30825,198757,A
1022,199100,138108,A
1023,176401,228,A
1024,141135,196278,A
1025,180930,187909,A
1026,27506,171861,A
1027,198009,8615,A
1028,124353,104837,A
1029,56199,38400,A
1030,118250,18713,A
1031,70083,2134,B
1032,44072,208294,A
1033,135136,85724,A
1034,159687,196817,A
1035,11449,183078,A
1036,112419,153272,A
1037,122629,125689,A
1038,113150,114476,B
1039,79606,33685,A
1040,24382,145661,A
1041,166296,200920,A
1042,29857,174557,A
1043,74307,206200,A
1044,206997,835,A
1045,96357,131384,A
1046,39307,103434,A
1047,103178,54247,A
1048,67883,132319,A
1049,174573,55949,A
1050,96005,204257,B
1051,154896,34170,A
1052,50948,31368,A
1053,179731,134945,B
1054,126596,37815,A
1055,180974,35126,A
1056,76137,140413,A
1057,178835,29930,A
1058,187056,39220,B
1059,26557,117242,A
1060,175594,136234,A
1061,15848,2493,A
1062,179997,22290,A
1063,126072,52471,A
1064,6455,147634,A
1065,107025,157618,A
1066,182004,4454,A
1067,151584,162862,A
1068,31584,71774,B
1069,70284,18087,A
1070,194001,202473,A
1071,134756,27055,A
1072,105046,158491,A
1073,56422,113924,A
1074,140382,39991,A
1075,78730,95066,B
1076,186556,181339,B
1077,100610,127857,A
1078,42090,160742,A
1079,98903,108157,A
1080,183456,34492,A
1081,96795,15307,A
1082,136315,209934,A
1083,93934,45373,A
1084,2559,110187,A
1085,68993,3279,A
1086,206034,14793,A
1087,42510,129407,A
1088,19440,194582,A
1089,146160,84878,A
1090,11399,96100,A
1091,69339,57723,A
1092,77820,126433,A
1093,34297,160721,A
1094,91316,188564,A
1095,142642,137354,A
1096,156100,67178,A
1097,169028,159259,A
1098,157574,81535,A
1099,82487,195109,A
1100,31039,183469,A
1101,164591,97971,A
1102,14196,128816,A
1103,51238,181811,A
1104,192559,5861,A
1105,39305,206509,B
1106,152145,133199,A
1107,149298,13006,A
1108,7612,9441,A
1109,17146,62025,B
1110,15142,60142,A
1111,95189,167293,A
1112,151643,185051,A
1113,73068,142357,A
1114,107626,146924,B
1115,46120,125750,A
1116,143233,167419,B
1117,81476,202593,A
1118,128885,137355,A
1119,20054,208274,B
1120,113484,175026,A
1121,164583,143222,B
1122,81492,79146,A
1123,127829,118849,A
1124,116679,132647,A
1125,7683,67809,A
1126,102027,44576,A
1127,34317,37048,A
1128,16046,62354,A
1129,205199,177340,A
1130,65609,194102,B
1131,27282,62209,A
1132,47867,190587,A
1133,146696,147338,A
1134,126148,54581,A
1135,158542,208432,B
1136,84798,107627,A
1137,26731,82013,A
1138,55680,165229,B
1139,200825,120852,B
1140,20202,199533,B
1141,155609,127070,A
1142,29787,22888,A
1143,101589,85416,A
1144,103176,36051,A
1145,156143,95769,A
1146,151069,157338,A
1147,119157,196169,A
1148,46453,73413,A
1149,169805,53013,A
1150,160150,154619,B
1151,137448,94607,A
1152,89903,163531,B
1153,179936,83765,A
1154,198027,62089,A
1155,158761,175749,A
1156,198819,1283,A
1157,200019,209995,A
1158,99617,173739,B
1159,197082,3600,A
1160,201494,102557,A
1161,55826,125105,A
1162,171948,96630,A
1163,203851,51724,A
1164,190020,128709,B
1165,60606,120080,A
1166,130421,47469,A
1167,138975,140689,A
1168,170850,134538,B
1169,168046,75108,A
1170,123712,8693,A
1171,131798,125798,A
1172,71369,18495,A
1173,183286,30472,A
1174,20305,148613,B
1175,23558,20326,B
1176,149684,61577,A
1177,180004,180721,A
1178,66672,98826,A
1179,16706,71483,A
1180,86972,198933,B
1181,197425,191004,B
1182,136084,110227,A
1183,91183,120855,A
1184,31647,179300,A
1185,44416,46056,A
1186,36564,203069,A
1187,147212,54433,A
1188,30079,140046,B
1189,135700,9406,A
1190,143869,132200,A
1191,95814,62201,A
1192,125177,7615,A
1193,70032,129437,A
1194,9651,193931,B
1195,61858,176622,A
1196,65528,165571,B
1197,115727,58459,A
1198,1006,124479,A
1199,17383,30556,A
1200,77683,129809,A
1201,11753,11112,A
1202,9127,58387,A
1203,135847,182617,A
1204,83651,176949,A
1205,95768,48746,A
1206,51778,121269,A
1207,152480,208833,B
1208,155621,16209,A
1209,191634,107859,B
1210,185549,146010,A
1211,46158,10776,A
1212,142546,133448,A
1213,32775,106380,A
1214,172386,149542,A
1215,197099,157550,A
1216,114402,45802,A
1217,77779,115049,A
1218,1490,75912,A
1219,99609,29166,A
1220,147372,192179,A
1221,40727,37228,A
1222,54849,207166,A
1223,76008,67523,A
1224,126125,151755,A
1225,147475,154774,B
1226,28919,88372,A
1227,97088,93232,A
1228,140711,43938,A
1229,18895,203297,A
1230,65432,192947,B
1231,16787,84258,A
1232,2221,186604,A
1233,141687,56247,A
1234,199730,52693,A
1235,99332,111894,A
1236,39575,119293,A
1237,35614,38104,A
1238,28096,76711,A
1239,51453,147125,A
1240,88415,139788,A
1241,130098,17995,A
1242,52671,56148,A
1243,79182,97789,A
1244,90914,162291,A
1245,202020,82216,A
1246,2562,99580,A
1247,63775,145476,A
1248,80673,121746,A
1249,144572,151950,A
1250,33803,55987,A
1251,91076,130905,A
1252,42401,22813,A
1253,150428,18221,A
1254,117685,205963,A
1255,16982,34306,A
1256,10924,158220,B
1257,165727,89028,A
1258,154224,107809,B
1259,173778,93798,A
1260,105802,114438,B
1261,93924,179066,A
1262,21856,155792,A
1263,41709,84054,A
1264,100350,47906,A
1265,109353,96130,A
1266,92750,170037,A
1267,86593,208605,A
1268,66539,201245,B
1269,132909,38557,A
1270,17354,65961,A
1271,70900,99098,A
1272,42559,49875,A
1273,197408,81740,A
1274,155559,177765,A
1275,40193,157667,A
1276,195468,58556,A
1277,161785,20817,A
1278,200054,78353,A
1279,27609,44186,A
1280,66444,186539,A
1281,195642,155141,B
1282,207763,100862,A
1283,115810,187718,A
1284,190720,61741,B
1285,50114,79768,A
1286,111085,103001,A
1287,90435,25321,A
1288,177066,110364,A
1289,143737,169897,A
1290,153788,135003,A
1291,95316,184345,A
1292,182448,149512,A
1293,200800,9119,A
1294,209594,109738,A
1295,26055,49085,A
1296,66716,125756,A
1297,171123,112622,B
1298,51039,136055,B
1299,166811,41130,B
1300,22098,113273,A
1301,33776,189187,A
1302,40204,204833,A
1303,202822,134515,B
1304,43472,193004,A
1305,144535,205540,B
1306,190367,112342,A
1307,127661,119508,A
1308,10131,183814,B
1309,75410,54993,A
1310,29120,127282,A
1311,36704,142754,A
1312,19178,140438,A
1313,131346,161487,A
1314,48346,162942,A
1315,34561,205380,A
1316,41039,81610,A
1317,6772,7918,A
1318,101530,16412,A
1319,4938,103923,A
1320,81168,175601,A
1321,196869,198287,A
1322,88337,45739,A
1323,126722,63615,A
1324,201053,79558,A
1325,112301,180417,A
1326,123384,30904,A
1327,194884,48200,A
1328,111339,70479,A
1329,145882,149965,A
1330,199391,196955,A
1331,200288,32392,A
1332,170618,158401,A
1333,155689,82258,A
1334,43007,189000,A
1335,23925,160846,A
1336,160176,20173,A
1337,77182,66586,A
1338,41618,156907,A
1339,39671,74430,A
1340,37015,180428,A
1341,32070,108822,A
1342,153522,148781,A
1343,75422,78193,A
1344,161823,115704,A
1345,67787,35184,A
1346,92406,73311,A
1347,115369,33521,A
1348,164927,160695,A
1349,185009,191084,B
1350,142560,104096,A
1351,97757,137336,A
1352,152597,118423,B
1353,103192,54108,A
1354,207022,178735,A
1355,81620,137326,A
1356,32236,209987,A
1357,105103,134247,A
1358,202756,190397,A
1359,175039,115958,A
1360,198054,79727,A
1361,59598,32036,A
1362,205605,120177,A
