Index,Image A,Image B,Output
132,498248,410204,B
133,20811,291025,B
134,489154,89963,B
135,459987,483201,A
136,275055,137759,B
137,73642,422524,A
138,76120,76008,A
139,15144,53363,B
140,75783,66132,A
141,58491,531219,A
142,505148,87663,B
143,327075,194475,A
144,397665,390377,A
145,290326,378804,A
146,133555,510784,A
147,244047,123961,B
148,399603,331388,A
149,143446,276247,B
150,399278,144276,B
151,294699,268954,A
152,531791,124550,B
153,44288,103483,B
154,504880,147608,A
155,512892,109653,A
156,357114,510732,B
157,474632,441356,A
158,529237,21536,A
159,555770,81026,A
160,269823,198472,A
161,152284,437757,A
162,394303,543482,B
163,141886,190285,A
164,281429,135684,A
165,93142,232945,A
166,345514,190188,B
167,183618,533914,B
168,434529,220652,B
169,496795,69279,B
170,112062,547393,A
171,458355,380019,A
172,563676,343119,B
173,111829,56036,A
174,224191,74468,A
175,253733,60012,A
176,244255,292993,B
177,20993,472542,B
178,555098,198339,B
179,561596,143239,B
180,517745,105266,B
181,31927,35098,B
182,229480,499675,B
183,564281,365739,A
184,134817,177415,A
185,54235,14118,A
186,217198,83261,A
187,358278,438027,B
188,43432,155621,A
189,220498,102990,B
190,476374,39325,B
191,75315,323336,A
192,184493,111825,A
193,27850,135493,B
194,104451,408236,B
195,60623,274216,B
196,400376,162092,A
197,523878,490936,B
198,82377,39221,B
199,566327,110849,B
200,130523,94848,A
201,199800,395270,B
202,318993,207371,B
203,522664,414559,B
204,191304,554342,B
205,370971,445690,B
206,244974,118076,B
207,421676,288156,B
208,206918,204002,A
209,174061,257680,B
210,216152,94110,B
211,439419,531830,A
212,368827,69066,A
213,300612,474170,A
214,107392,451635,B
215,198568,259564,A
216,132680,209147,B
217,151008,19875,A
218,535689,179114,B
219,339963,439117,B
220,359096,161730,B
221,351489,312485,A
222,242820,212668,A
223,39239,552149,A
224,122693,49548,A
225,95559,332122,A
226,345977,161798,B
227,385324,295577,B
228,529146,219297,A
229,554652,13454,A
230,363338,435130,B
231,177307,551404,A
232,268383,199703,B
233,110609,242700,B
234,22526,326957,B
235,327299,87392,B
236,239083,419823,B
237,52071,304234,A
238,26885,130582,B
239,191199,353492,A
240,134155,495293,A
241,204841,234432,A
242,334319,501550,B
243,516120,461093,B
244,58474,259073,A
245,11427,32239,B
246,338273,183276,A
247,244808,26973,A
248,39980,437149,A
249,136886,558914,A
250,242862,499974,A
251,102937,494827,A
252,39885,433847,A
253,73439,149,A
254,518677,460877,B
255,237219,425755,A
256,32479,438908,B
257,473652,103534,B
258,561776,319997,A
259,292838,387354,A
260,210550,481868,A
261,275744,511142,B
262,267401,172217,A
263,388115,459118,A
264,46047,3710,A
265,189507,46379,A
266,329738,33149,A
267,255187,503904,B
268,128528,91287,A
269,261288,206970,B
270,199610,362709,A
271,176106,35608,A
272,6338,201457,B
273,411075,142214,B
274,8439,286098,B
275,227368,424053,B
276,237516,155105,B
277,244124,514306,A
278,528836,408185,A
279,13334,289609,B
280,156652,320542,B
281,295664,532942,A
282,39250,185828,A
283,304485,17062,A
284,353673,203369,B
285,153311,115451,B
286,459631,482751,A
287,196197,436906,A
288,431942,447166,A
289,420910,472213,A
290,374065,161436,A
291,252059,75807,A
292,107552,326759,B
293,356429,485726,A
294,261579,449888,A
295,395451,492493,B
296,8156,79333,B
297,513687,127712,A
298,268101,209901,A
299,388562,559979,B
300,460587,306473,B
301,113622,550728,A
302,369184,192363,B
303,452785,16216,A
304,83427,349398,B
305,375635,234740,A
306,282771,108036,A
307,70598,386593,A
308,425236,364051,A
309,460460,562693,B
310,275252,374562,A
311,386985,82001,B
312,412931,557049,B
313,96350,472081,A
314,185062,460143,A
315,243050,110834,B
316,19557,162433,B
317,479969,414142,A
318,433142,382462,A
319,114721,155334,A
320,569930,298131,A
321,271193,394856,B
322,312361,394571,A
323,297791,243413,B
324,252418,468814,A
325,176001,193419,A
326,434343,27242,A
327,343525,75250,B
328,63158,107278,B
329,396281,437986,B
330,81169,561909,B
331,65749,338771,A
332,566786,309524,B
333,244820,28806,A
334,559122,50796,B
335,161613,176841,A
336,390869,543761,A
337,153409,535229,B
338,252513,56495,A
339,248637,377230,B
340,141367,361188,A
341,410871,43167,A
342,382982,75287,B
343,456819,185192,B
344,71989,504402,A
345,240226,31431,B
346,188068,540024,B
347,267850,113369,B
348,406899,309109,A
349,113253,128656,A
350,364342,215277,B
351,46787,43717,A
352,70590,243276,A
353,14666,478324,B
354,16041,332966,B
355,245517,55805,A
356,465583,349120,B
357,11412,102583,B
358,461582,514734,B
359,499786,420283,A
360,551385,484665,B
361,171526,314474,B
362,430315,326385,B
363,82912,248405,B
364,208337,423214,A
365,19600,87193,B
366,393545,266994,A
367,66471,164165,B
368,490974,540093,B
369,69510,273317,A
370,92865,334147,A
371,235706,419387,A
372,414545,515497,A
373,85991,347389,B
374,178562,125250,A
375,522766,94312,A
376,24160,180619,B
377,312768,503671,A
378,231971,513714,A
379,54748,429151,B
380,279449,338348,A
381,370826,46211,A
382,92917,42781,B
383,537113,403565,A
384,529721,32755,B
385,20419,133350,B
386,330598,102771,A
387,428961,540729,B
388,366899,546278,B
389,139784,133313,A
390,425130,225014,A
391,313101,322572,A
392,142045,104564,A
393,101838,534294,A
394,255830,12634,A
395,87012,306756,B
396,329090,556138,A
397,141588,518045,A
398,390207,357171,A
399,39980,24278,A
400,8125,496530,B
401,440098,555804,B
402,191280,204905,B
403,433277,494276,A
404,41749,15256,A
405,304782,495802,B
406,110540,332137,A
407,104347,433719,A
408,415778,388166,B
409,135529,425120,A
410,263515,279884,B
411,446194,302272,B
412,49509,511315,A
413,568746,147672,A
414,336139,238494,A
415,188833,550695,A
416,404250,169864,A
417,33115,517369,B
418,128616,529207,B
419,397263,212279,A
420,362470,42723,A
421,412737,238558,A
422,357066,244289,A
423,595,242421,B
424,163052,493326,A
425,352386,127543,B
426,38208,512019,A
427,174284,348249,A
428,343044,412299,A
429,380536,200415,A
430,63447,280135,A
431,375248,332028,B
432,389991,373382,A
433,460480,149665,B
434,441374,541181,B
435,95867,42325,B
436,352393,532675,B
437,117667,124295,A
438,220504,30383,B
439,344743,501,A
440,460811,65741,B
441,559734,127256,A
442,74946,497949,A
443,417793,278127,A
444,544770,329539,B
445,372733,380375,B
446,569911,199410,B
447,316099,454550,A
448,4220,465510,B
449,47952,355631,B
450,182639,207449,B
451,150665,545940,B
452,483881,409337,A
453,409400,257368,B
454,229428,464405,B
455,99412,551889,B
456,370525,370446,B
457,382501,92625,B
458,29647,207425,B
459,222163,319823,A
460,437762,237276,A
461,102621,226188,B
462,108266,479995,A
463,313609,277613,A
464,258673,166885,A
465,190654,404464,A
466,171593,275657,A
467,444583,82648,B
468,510432,348198,A
469,377505,404346,B
470,126624,384748,B
471,323133,304699,B
472,324468,447517,A
473,172035,390460,A
474,39876,291549,B
475,569755,469456,B
476,248336,503839,B
477,409262,489372,A
478,435563,92084,A
479,344245,403677,A
480,465405,427298,B
481,9117,85259,B
482,358718,220634,B
483,347601,7941,A
484,477071,93909,B
485,556131,448247,A
486,424641,130573,B
487,521513,455592,A
488,18628,437297,B
489,9599,16017,A
490,154788,444517,A
491,555270,111842,B
492,230142,102350,B
493,307978,541148,B
494,317365,453139,A
495,149000,295091,B
496,333836,63462,A
497,429004,495107,B
498,360433,392371,B
499,513590,518823,A
500,461888,446592,A
501,539360,7144,A
502,466115,347419,A
503,100385,320904,B
504,104366,46651,B
505,424704,308120,A
506,113105,397411,A
507,163980,356989,B
508,561102,482624,B
509,538463,320259,B
510,257633,153935,B
511,289889,42788,A
512,402822,178480,B
513,511283,237210,A
514,216914,367717,B
515,87878,420796,A
516,348803,338221,B
517,122907,232254,A
518,403260,521291,B
519,367242,379490,A
520,345678,429262,A
521,326837,408310,A
522,187912,497509,B
523,376677,263105,A
524,9147,143136,B
525,376083,404989,B
526,366755,469347,A
527,436775,403855,A
528,550805,249113,A
529,261734,414677,B
530,100782,116046,B
531,497071,243776,A
532,568124,169380,A
533,243984,207449,B
534,545389,86543,A
535,157003,382795,A
536,92579,432997,A
537,307324,157516,B
538,58291,74782,B
539,364602,505494,A
540,284499,318501,A
541,387758,240058,B
542,25648,297830,B
543,269302,91177,B
544,517607,554110,A
545,343582,167887,B
546,89524,156443,B
547,47144,319045,A
548,455574,478706,B
549,355869,562027,B
550,98756,535455,A
551,38158,429477,A
552,82817,113680,B
553,486950,52747,B
554,94566,448132,A
555,354057,557642,A
556,553062,497784,A
557,431052,402206,A
558,567852,61575,B
559,125359,456136,A
560,431363,159837,B
561,20465,193738,A
562,271266,228431,A
563,272514,270900,A
564,197386,329631,A
565,541506,414650,A
566,373633,326095,A
567,210695,470174,A
568,361259,259512,A
569,482214,113522,A
570,113411,520974,B
571,28534,425661,B
572,497599,52535,B
573,35128,14318,A
574,149159,309183,A
575,331144,223499,B
576,569974,421147,A
577,185728,49394,A
578,411930,170110,B
579,455779,493565,B
580,521756,443923,B
581,334183,385692,A
582,41043,11544,A
583,174226,569693,A
584,248320,253011,B
585,15508,69591,B
586,104378,25039,A
587,562849,302369,B
588,318672,253558,A
589,493709,157126,A
590,90095,58898,A
591,314909,52366,A
592,458118,352778,B
593,25225,272265,B
594,305622,447885,B
595,169140,178632,B
596,179401,81585,B
597,199333,393002,A
598,314679,168185,A
599,543547,220011,A
600,397243,449662,A
601,27893,124497,B
602,341710,416228,B
603,427842,112468,B
604,541608,69031,A
605,13990,228995,A
606,246638,227033,B
607,288217,70430,B
608,226984,74144,B
609,33662,112380,B
610,326328,492646,A
611,462220,341536,A
612,364687,503261,A
613,412995,368221,B
614,258796,478602,B
615,501268,261086,B
616,409236,72152,A
617,421401,532438,A
618,560117,132683,A
619,159941,516348,A
620,135442,343751,B
621,364662,56648,B
622,162234,228456,A
623,417588,394360,A
624,128553,17923,A
625,500154,131589,B
626,256922,414402,B
627,435160,404231,B
628,387104,559920,A
629,273753,180951,B
630,173801,437921,B
631,285469,91265,A
632,268932,444967,A
633,129376,511416,A
634,439404,32478,A
635,88118,550001,B
636,86330,107894,B
637,10537,562398,B
638,480482,380844,A
639,144572,290524,A
640,377602,261809,B
641,155803,307178,B
642,42544,98571,A
643,252258,233474,A
644,26072,197083,B
645,8586,132774,A
646,320521,53778,B
647,267032,249159,B
648,192998,434786,A
649,159868,352878,B
650,354499,231765,A
651,195264,45731,A
652,13279,479133,B
653,257036,298672,B
654,346060,246605,A
655,422953,534426,B
656,407581,211237,B
657,264758,8274,A
658,36965,89135,A
659,313966,260559,B
660,154930,467517,A
661,263948,211723,B
662,246059,559986,A
663,569696,322018,B
664,224770,404812,B
665,477884,175878,A
666,235168,320709,A
667,176951,328855,B
668,38877,269720,A
669,176855,250729,B
670,184814,319793,B
671,261087,413488,A
672,331743,378454,A
673,258095,472187,A
674,11179,438364,B
675,88695,511929,A
676,477348,453926,B
677,564856,179940,B
678,307739,256610,B
679,93161,548663,B
680,116150,315317,A
681,83615,314961,A
682,33037,160650,B
683,96256,510891,A
684,346947,116745,B
685,124048,495374,A
686,516024,295080,B
687,442397,414561,B
688,517529,486868,A
689,179352,138649,A
690,472672,450131,A
691,37503,363380,A
692,251003,530777,A
693,102170,205413,B
694,139270,490250,B
695,531837,276187,A
696,40284,244980,B
697,364312,99637,A
698,543908,200874,B
699,383483,214231,A
700,350605,89160,B
701,540018,403492,B
702,493496,49919,A
703,395486,528905,A
704,498768,334420,A
705,289107,224764,A
706,529906,334720,B
707,169961,415794,A
708,391528,305797,A
709,229305,555306,A
710,404338,465133,A
711,112252,543385,B
712,124415,529395,A
713,288394,280786,B
714,409709,189836,B
715,118793,149561,A
716,257903,495625,B
717,396035,107392,A
718,221405,298882,B
719,116626,275759,A
720,299511,295585,B
721,183778,376953,B
722,366886,96775,B
723,390305,102574,B
724,312107,559020,B
725,87539,214757,A
726,510927,237341,A
727,201259,446364,A
728,450708,159018,A
729,349457,438629,A
730,33808,235203,B
731,378728,498,A
732,361894,120284,B
733,490817,518787,A
734,134846,176366,A
735,131761,69306,A
736,433284,223683,A
737,283329,555293,A
738,426316,406024,B
739,477837,540416,B
740,163024,229863,A
741,535729,191495,A
742,114062,513959,B
743,498799,37490,B
744,238423,165543,B
745,37087,229463,B
746,72912,509980,A
747,281615,153092,A
748,207312,237650,A
749,366826,275075,B
750,284186,97646,B
751,387698,358423,A
752,369192,415819,A
753,374229,134950,A
754,468565,7229,A
755,365275,528095,B
756,394160,538875,B
757,144754,400381,B
758,228758,319743,B
759,325277,253316,A
760,203616,368558,A
761,212610,285504,A
762,279518,388778,A
763,34109,422916,B
764,74437,554152,A
765,184518,557872,A
766,123555,496333,A
767,273921,550608,B
768,87255,191634,A
769,393210,412880,B
770,99097,255659,B
771,132551,437437,A
772,216147,392704,B
773,165084,485255,B
774,351006,421229,B
775,30464,553463,B
776,220042,543853,B
777,232908,304196,B
778,181302,434331,B
779,260761,115734,B
780,254789,292949,B
781,398007,255875,B
782,474802,151279,A
783,36182,422567,A
784,43586,305151,A
785,441293,308906,B
786,55208,14829,A
787,195687,92182,B
788,220693,426977,A
789,25155,565796,B
790,329289,323379,A
791,437326,72993,B
792,344962,563126,A
793,313888,234160,A
794,306772,194014,B
795,429574,465512,A
796,420673,67883,A
797,468638,282583,B
798,184330,261407,B
799,491977,519739,A
800,547097,254812,A
801,563976,402683,B
802,227205,191255,B
803,567810,125324,A
804,217427,373211,A
805,139682,282591,A
806,401319,488692,A
807,193818,214774,B
808,319297,73434,A
809,242993,291156,A
810,73845,286836,B
811,207480,16676,A
812,326769,384912,A
813,43570,120667,A
814,330898,174903,B
815,177507,460170,B
816,176072,181286,A
817,39667,499703,B
818,296177,276842,A
819,352252,173599,A
820,431558,508775,B
821,542563,113745,B
822,554814,60534,B
823,111790,459599,B
824,437373,353153,A
825,87138,485025,B
826,496375,32195,B
827,138619,382116,B
828,402973,244379,B
829,501964,378197,A
830,280998,531502,B
831,310458,173287,B
832,479637,270618,A
833,39919,528153,A
834,5386,508177,B
835,182352,5086,A
836,36560,121279,A
837,95219,245813,B
838,245179,288961,A
839,88141,129768,A
840,317646,313905,B
841,145728,188730,B
842,155354,25781,A
843,378587,500451,B
844,167349,468198,A
845,138713,356388,B
846,332415,384617,A
847,310532,241231,B
848,137774,419950,A
849,164180,328014,A
850,164888,477592,B
851,298753,331590,A
852,60681,57487,B
853,71413,297368,A
854,418467,508441,B
855,356175,366627,B
856,483875,258472,B
857,315435,350309,A
858,457085,475896,A
859,15607,368045,B
860,262108,263686,A
861,205145,550756,B
862,122870,214276,A
863,398533,43600,B
864,183358,70677,A
865,124605,342950,A
866,322745,257764,A
867,57256,94008,A
868,394236,361314,B
869,53903,328027,A
870,467605,419149,B
871,476853,566758,A
872,366669,181960,A
873,326032,446850,B
874,28236,524948,B
875,27941,95405,A
876,552638,512115,B
877,200142,334777,A
878,383455,415868,A
879,550055,538235,A
880,86409,516469,B
881,444785,191274,B
882,206195,414222,A
883,313741,235797,A
884,5049,493720,B
885,5378,239051,B
886,331433,255080,A
887,480131,23925,A
888,519895,380737,A
889,195706,66239,B
890,378861,289299,B
891,32952,478387,A
892,256871,293181,A
893,195003,533582,B
894,37587,25456,A
895,192210,287858,B
896,540302,384398,A
897,64779,255083,A
898,239082,63070,A
899,548233,33949,B
900,338435,12195,A
901,33754,448801,B
902,247451,183508,A
903,65933,138824,B
904,175235,286679,B
905,411096,207258,B
906,360662,57018,A
907,203587,290366,B
908,234813,136574,B
909,391472,116861,A
910,529226,231194,A
911,37394,405588,A
912,349021,517719,B
913,252995,175743,B
914,82199,442636,B
915,155550,324215,B
916,233752,308085,A
917,308132,36031,A
918,428534,68191,B
919,37819,532077,B
920,430487,162029,B
921,150994,128293,A
922,562289,223757,B
923,218656,438101,A
924,465414,131674,B
925,34284,524468,B
926,538421,282573,B
927,359503,275624,A
928,66682,285283,B
929,451218,232594,A
930,369380,247149,B
931,503226,241170,B
932,498795,198162,A
933,122950,358719,B
934,504031,221164,A
935,132235,297021,A
936,450631,268279,A
937,569235,515846,B
938,261151,338316,B
939,563431,49096,B
940,336853,90375,B
941,376754,139353,A
942,475060,490483,A
943,363189,219145,A
944,26872,185552,B
945,303044,271877,A
946,239035,314669,A
947,146333,358650,B
948,283633,157364,A
949,433831,282250,B
950,200776,464967,A
951,313196,22690,A
952,356130,345900,B
953,312491,249868,B
954,564768,219955,A
955,148336,402130,A
956,411949,118926,A
957,323568,49353,A
958,288732,8321,A
959,533685,443475,A
960,287705,146612,B
961,358062,439964,A
962,295001,559831,A
963,297872,549146,A
964,3880,353469,B
965,107721,209,A
966,535428,533930,B
967,264078,240061,B
968,58758,265815,A
969,167687,67935,A
970,208242,412109,B
971,20761,87186,B
972,300911,465040,B
973,238385,152699,B
974,266080,289326,A
975,257605,490350,A
976,348135,493197,A
977,48418,483506,B
978,8110,151156,B
979,519964,472826,B
980,476971,4280,A
981,155121,124844,A
982,320702,309015,A
983,91780,112236,A
984,149766,552646,A
985,15691,359070,B
986,258198,250087,B
987,328772,19619,A
988,482352,120506,A
989,354912,288027,B
990,165451,439846,A
991,357340,288660,B
992,300025,75719,A
993,203959,197608,B
994,293932,334652,B
995,269952,280941,A
996,260167,274103,B
997,489250,471713,B
998,436339,350805,B
999,484094,121888,A
1000,152596,246722,B
1001,422074,555376,A
1002,273364,323968,B
1003,547696,249975,A
1004,332998,193434,B
1005,561435,19697,A
1006,378614,392681,B
1007,300230,26500,A
1008,568749,543819,B
1009,471463,68055,A
1010,344871,332850,A
1011,338301,145555,B
1012,177129,493198,B
1013,299520,401524,B
1014,76255,308913,B
1015,126851,295826,A
1016,435443,416001,A
1017,509649,148334,A
1018,280642,29273,A
1019,85988,382644,B
1020,500252,143524,A
1021,119738,543208,A
1022,433010,70357,A
1023,31935,538143,B
1024,200843,310205,A
1025,110822,378276,B
1026,299668,230354,B
1027,426788,31071,B
1028,116726,279426,A
1029,2305,503345,B
1030,327592,148384,A
1031,213747,114750,A
1032,348283,163024,A
1033,29852,55649,B
1034,258621,390764,A
1035,19614,322269,B
1036,203498,471972,B
1037,92425,107748,B
1038,553074,192127,A
1039,52286,134628,B
1040,198327,108478,A
1041,8613,397453,B
1042,341181,404228,B
1043,186656,132561,B
1044,437430,216676,A
1045,449889,82972,A
1046,200778,88539,A
1047,211308,120544,B
1048,415111,217453,A
1049,375,484307,B
1050,250244,329870,B
1051,485455,461492,A
1052,179645,156696,A
1053,279596,448664,B
1054,226131,383210,B
1055,483664,165523,A
1056,480623,346564,A
1057,340436,407583,B
1058,202409,127266,A
1059,285725,91047,B
1060,124432,100143,A
1061,289649,307955,A
1062,482324,154987,A
1063,554686,329904,B
1064,120786,211157,B
1065,137927,107869,B
1066,419378,236095,A
1067,557417,81546,B
1068,336759,159386,B
1069,496189,326432,B
1070,321462,566029,A
1071,28714,5847,B
1072,295259,99142,A
1073,26048,506641,B
1074,517133,344008,A
1075,560482,108672,A
1076,480899,12645,B
1077,77910,522424,A
1078,79304,260671,B
1079,114396,310142,A
1080,417984,203772,B
1081,470633,290621,B
1082,267127,306974,A
1083,279403,247272,B
1084,479601,512462,B
1085,501757,451524,B
1086,325556,30625,A
1087,204965,281716,A
1088,464113,341919,B
1089,114109,311859,B
1090,173157,250924,A
1091,525461,446133,A
1092,172467,30300,A
1093,212301,417127,A
1094,162043,420136,B
1095,305265,355154,B
1096,378245,937,A
1097,264137,189254,B
1098,45826,235083,B
1099,228663,326913,B
1100,451875,53370,B
1101,437902,260809,A
1102,544007,144347,B
1103,14474,36684,B
1104,280135,204168,A
1105,315659,136419,B
1106,320774,303797,A
1107,483003,541906,A
1108,404889,344719,A
1109,383450,384533,B
1110,514113,43767,A
1111,88523,269223,A
1112,327081,261332,A
1113,307621,356506,A
1114,486349,236316,B
1115,238498,568276,B
1116,328264,108396,B
1117,204436,337303,A
1118,37510,379340,A
1119,1729,188979,B
1120,135398,272499,A
1121,517540,297474,B
1122,331736,187871,A
1123,30349,492136,A
1124,349846,539002,B
1125,468223,155022,B
1126,184053,53252,B
1127,207182,192228,B
1128,298072,126601,A
1129,343810,145733,B
1130,149053,252204,A
1131,446481,173364,A
1132,42336,543040,A
1133,84377,93551,A
1134,155704,86989,A
1135,464314,8896,A
1136,466969,386403,B
1137,100956,498772,B
1138,379501,116398,B
1139,526694,163131,A
1140,184337,46252,A
1141,155961,515082,B
1142,403303,437354,B
1143,353697,236404,B
1144,407373,122797,B
1145,552848,567465,B
1146,421927,120262,B
1147,227099,264631,A
1148,172494,216486,A
1149,566295,357667,B
1150,214495,212898,B
1151,21091,94599,B
1152,13148,335262,B
1153,283412,318236,A
1154,417747,70938,B
1155,291613,271140,A
1156,357942,33683,A
1157,208643,208891,A
1158,170867,103625,A
1159,154267,180522,B
1160,406266,236489,B
1161,275016,154984,A
1162,399082,367767,B
1163,414273,250183,A
1164,314286,475313,A
1165,383797,458192,A
1166,449541,352382,A
1167,324166,428063,A
1168,519962,74331,A
1169,327292,287054,B
1170,68634,159293,A
1171,106621,216979,A
1172,429304,147646,B
1173,262069,38777,B
1174,18474,381609,B
1175,303424,261164,A
1176,303883,170855,A
1177,402378,159923,B
1178,292231,552725,A
1179,386400,154341,A
1180,561900,56047,B
1181,274245,534981,A
1182,244507,357484,B
1183,66979,210486,A
1184,483597,255528,B
1185,275252,532934,A
1186,523907,557189,B
1187,62262,300848,A
1188,102333,179468,A
1189,412077,259979,B
1190,537568,299321,B
1191,275113,76751,A
1192,489300,249604,B
1193,93487,515763,A
1194,416399,229580,B
1195,210631,412455,A
1196,492946,501899,B
1197,219259,151759,B
1198,563342,169708,A
1199,447622,445325,A
1200,496690,317387,A
1201,96575,111344,B
1202,247833,247870,A
1203,491862,477987,A
1204,271322,364054,B
1205,293427,71572,B
1206,43726,544574,A
1207,145360,62662,B
1208,329452,536713,B
1209,519256,206190,B
1210,233210,465336,A
1211,262914,79507,B
1212,139479,41259,A
1213,427459,563182,A
1214,244940,250882,B
1215,458660,268219,A
1216,98593,320071,A
1217,463215,318826,A
1218,367614,536689,B
1219,298896,465448,A
1220,92479,460702,B
1221,260615,107691,B
1222,309857,22346,A
1223,19330,126206,B
1224,72565,275041,A
1225,254287,437802,A
1226,92854,412561,A
1227,490303,142545,B
1228,203780,227021,A
1229,229854,99512,B
1230,29859,525076,B
1231,339026,481362,A
1232,328475,408933,A
1233,391678,516040,B
1234,404039,248476,B
1235,308918,559435,B
1236,347757,219001,B
1237,290627,120630,A
1238,90376,195628,A
1239,513145,536719,B
1240,271940,128276,B
1241,95961,11377,A
1242,67440,116257,A
1243,215187,542399,B
1244,183658,352004,B
1245,305514,501084,A
1246,564094,375667,A
1247,98362,274938,A
1248,419732,62447,A
1249,141349,346698,A
1250,404629,289374,A
1251,511507,553640,B
1252,279327,164340,B
1253,241260,81002,A
1254,547655,61440,B
1255,12994,367014,B
1256,541962,177683,A
1257,214000,562967,A
1258,188821,284908,A
1259,559193,33125,A
1260,547010,386412,B
1261,131494,420163,B
1262,361960,149178,B
1263,330743,227730,A
1264,452015,551070,B
1265,138123,186204,B
1266,446564,540000,B
1267,332265,406164,A
1268,310229,351123,B
1269,120381,168103,A
1270,306662,369624,B
1271,207688,23794,A
1272,490154,342759,A
1273,490839,217629,A
1274,521010,77459,A
1275,106626,445529,A
1276,68416,144201,B
1277,407142,359353,B
1278,533316,36519,B
1279,89835,237010,A
1280,348143,59273,B
1281,212820,25622,A
1282,239978,121909,A
1283,320125,60390,B
1284,66736,286213,B
1285,395884,530869,B
1286,278147,124266,A
1287,474587,530166,A
1288,169709,352659,B
1289,96203,352146,A
1290,172878,76601,B
1291,528180,540708,A
1292,546210,392273,B
1293,223035,388789,A
1294,125577,86257,B
1295,363277,264894,A
1296,523260,51883,B
1297,470351,218002,A
1298,51975,541484,A
1299,13836,165904,B
1300,307312,481031,B
1301,226878,63429,B
1302,282214,38183,B
1303,177815,220552,A
1304,9589,266442,B
1305,341380,443350,B
1306,538293,122780,B
1307,8670,95836,B
1308,216092,103790,A
1309,99132,546349,B
1310,91281,114980,B
1311,136158,251364,A
1312,381842,450203,A
1313,1507,289034,B
1314,76293,386251,B
1315,70233,338541,A
1316,35678,71952,A
1317,564575,355698,A
1318,214604,201627,A
1319,114767,87854,B
1320,121804,99511,B
1321,499931,238165,B
1322,41443,288223,B
1323,44563,25984,A
1324,205453,180467,A
1325,160719,249400,A
1326,214542,353068,B
1327,11092,473100,B
1328,277605,334184,A
1329,153233,23618,A
1330,309882,22894,A
1331,470977,131323,A
1332,243617,108416,A
1333,280614,234514,A
1334,191187,118932,A
1335,549200,82445,B
1336,64665,180641,A
1337,211624,421433,B
1338,122876,437216,A
1339,98984,194081,B
1340,85165,488312,B
1341,175683,93322,B
1342,236123,207892,B
1343,458970,150218,B
1344,543404,398805,B
1345,326038,544106,B
1346,275394,447351,A
1347,459659,353732,A
1348,404784,264031,B
1349,405776,552714,B
1350,185000,55817,A
1351,258000,190432,B
1352,327975,154314,A
1353,502035,159176,A
1354,195976,36190,A
1355,109222,362786,B
1356,516557,30516,A
1357,174129,205949,A
1358,70330,62142,B
1359,234811,539178,B
1360,87663,133587,B
1361,491570,38181,B
